Count;DISTRICT;HUMAN INSTINCT;TYPE OF LAND;VLAND ID;COORDINATES;_1_XY;_2_XY;_3_XY;_4_XY;Position X;Position Y;Cluster
1156;District 3 Pi;Idealism;Exclusive;0874E;-2080, -5712;-2064, -5696;-2064, -5728;-2096, -5728;-2096, -5696;-2080.0000;-5712.0000;110
1157;District 3 Pi;Idealism;Exclusive;0875E;-2048, -5712;-2032, -5696;-2032, -5728;-2064, -5728;-2064, -5696;-2048.0000;-5712.0000;110
1158;District 3 Pi;Idealism;Exclusive;0876E;-2048, -5744;-2032, -5728;-2032, -5760;-2064, -5760;-2064, -5728;-2048.0000;-5744.0000;110
1159;District 3 Pi;Idealism;Exclusive;0877E;-2112, -5744;-2096, -5728;-2096, -5760;-2128, -5760;-2128, -5728;-2112.0000;-5744.0000;110
1160;District 3 Pi;Idealism;Exclusive;0878E;-2112, -5776;-2096, -5760;-2096, -5792;-2128, -5792;-2128, -5760;-2112.0000;-5776.0000;110
1161;District 3 Pi;Idealism;Exclusive;0879E;-2080, -5776;-2064, -5760;-2064, -5792;-2096, -5792;-2096, -5760;-2080.0000;-5776.0000;110
1162;District 3 Pi;Idealism;Exclusive;0880E;-2048, -5776;-2032, -5760;-2032, -5792;-2064, -5792;-2064, -5760;-2048.0000;-5776.0000;110
1163;District 3 Pi;Idealism;Exclusive;0881E;-3648, -4206;-3664, -4222;-3664, -4190;-3632, -4190;-3632, -4222;-3648.0000;-4206.0000;111
1164;District 3 Pi;Idealism;Exclusive;0882E;-3680, -4206;-3696, -4222;-3696, -4190;-3664, -4190;-3664, -4222;-3680.0000;-4206.0000;111
1165;District 3 Pi;Idealism;Exclusive;0883E;-3712, -4206;-3728, -4222;-3728, -4190;-3696, -4190;-3696, -4222;-3712.0000;-4206.0000;111
1166;District 3 Pi;Idealism;Exclusive;0884E;-3712, -4174;-3728, -4190;-3728, -4158;-3696, -4158;-3696, -4190;-3712.0000;-4174.0000;111
1167;District 3 Pi;Idealism;Exclusive;0885E;-3648, -4174;-3664, -4190;-3664, -4158;-3632, -4158;-3632, -4190;-3648.0000;-4174.0000;111
1168;District 3 Pi;Idealism;Exclusive;0886E;-3648, -4142;-3664, -4158;-3664, -4126;-3632, -4126;-3632, -4158;-3648.0000;-4142.0000;111
1169;District 3 Pi;Idealism;Exclusive;0887E;-3680, -4142;-3696, -4158;-3696, -4126;-3664, -4126;-3664, -4158;-3680.0000;-4142.0000;111
1170;District 3 Pi;Idealism;Exclusive;0888E;-3712, -4142;-3728, -4158;-3728, -4126;-3696, -4126;-3696, -4158;-3712.0000;-4142.0000;111
1171;District 3 Pi;Idealism;Exclusive;0889E;-2112, -4208;-2096, -4224;-2096, -4192;-2128, -4192;-2128, -4224;-2112.0000;-4208.0000;112
1172;District 3 Pi;Idealism;Exclusive;0890E;-2080, -4208;-2064, -4224;-2064, -4192;-2096, -4192;-2096, -4224;-2080.0000;-4208.0000;112
1173;District 3 Pi;Idealism;Exclusive;0891E;-2048, -4208;-2032, -4224;-2032, -4192;-2064, -4192;-2064, -4224;-2048.0000;-4208.0000;112
1174;District 3 Pi;Idealism;Exclusive;0892E;-2048, -4176;-2032, -4192;-2032, -4160;-2064, -4160;-2064, -4192;-2048.0000;-4176.0000;112
1175;District 3 Pi;Idealism;Exclusive;0893E;-2112, -4176;-2096, -4192;-2096, -4160;-2128, -4160;-2128, -4192;-2112.0000;-4176.0000;112
1176;District 3 Pi;Idealism;Exclusive;0894E;-2112, -4144;-2096, -4160;-2096, -4128;-2128, -4128;-2128, -4160;-2112.0000;-4144.0000;112
1177;District 3 Pi;Idealism;Exclusive;0895E;-2080, -4144;-2064, -4160;-2064, -4128;-2096, -4128;-2096, -4160;-2080.0000;-4144.0000;112
1178;District 3 Pi;Idealism;Exclusive;0896E;-2048, -4144;-2032, -4160;-2032, -4128;-2064, -4128;-2064, -4160;-2048.0000;-4144.0000;112
1179;District 3 Pi;Idealism;Exclusive;0897E;-4938, -4992;-4954, -5008;-4954, -4976;-4922, -4976;-4922, -5008;-4938.0000;-4992.0000;113
1180;District 3 Pi;Idealism;Exclusive;0898E;-4970, -4992;-4986, -5008;-4986, -4976;-4954, -4976;-4954, -5008;-4970.0000;-4992.0000;113
1181;District 3 Pi;Idealism;Exclusive;0899E;-5002, -4992;-5018, -5008;-5018, -4976;-4986, -4976;-4986, -5008;-5002.0000;-4992.0000;113
1182;District 3 Pi;Idealism;Exclusive;0900E;-5002, -4960;-5018, -4976;-5018, -4944;-4986, -4944;-4986, -4976;-5002.0000;-4960.0000;113
1183;District 3 Pi;Idealism;Exclusive;0901E;-4938, -4960;-4954, -4976;-4954, -4944;-4922, -4944;-4922, -4976;-4938.0000;-4960.0000;113
1184;District 3 Pi;Idealism;Exclusive;0902E;-4938, -4928;-4954, -4944;-4954, -4912;-4922, -4912;-4922, -4944;-4938.0000;-4928.0000;113
1185;District 3 Pi;Idealism;Exclusive;0903E;-4970, -4928;-4986, -4944;-4986, -4912;-4954, -4912;-4954, -4944;-4970.0000;-4928.0000;113
1186;District 3 Pi;Idealism;Exclusive;0904E;-5002, -4928;-5018, -4944;-5018, -4912;-4986, -4912;-4986, -4944;-5002.0000;-4928.0000;113
1187;District 3 Pi;Idealism;Exclusive;0905E;-5312, -4592;-5296, -4608;-5296, -4576;-5328, -4576;-5328, -4608;-5312.0000;-4592.0000;114
1188;District 3 Pi;Idealism;Exclusive;0906E;-5280, -4592;-5264, -4608;-5264, -4576;-5296, -4576;-5296, -4608;-5280.0000;-4592.0000;114
1189;District 3 Pi;Idealism;Exclusive;0907E;-5248, -4592;-5232, -4608;-5232, -4576;-5264, -4576;-5264, -4608;-5248.0000;-4592.0000;114
1190;District 3 Pi;Idealism;Exclusive;0908E;-5248, -4560;-5232, -4576;-5232, -4544;-5264, -4544;-5264, -4576;-5248.0000;-4560.0000;114
1191;District 3 Pi;Idealism;Exclusive;0909E;-5312, -4560;-5296, -4576;-5296, -4544;-5328, -4544;-5328, -4576;-5312.0000;-4560.0000;114
1192;District 3 Pi;Idealism;Exclusive;0910E;-5312, -4528;-5296, -4544;-5296, -4512;-5328, -4512;-5328, -4544;-5312.0000;-4528.0000;114
1193;District 3 Pi;Idealism;Exclusive;0911E;-5280, -4528;-5264, -4544;-5264, -4512;-5296, -4512;-5296, -4544;-5280.0000;-4528.0000;114
1194;District 3 Pi;Idealism;Exclusive;0912E;-5248, -4528;-5232, -4544;-5232, -4512;-5264, -4512;-5264, -4544;-5248.0000;-4528.0000;114
1195;District 3 Pi;Idealism;Exclusive;0913E;-4432, -3136;-4416, -3152;-4416, -3120;-4448, -3120;-4448, -3152;-4432.0000;-3136.0000;115
1196;District 3 Pi;Idealism;Exclusive;0914E;-4400, -3136;-4384, -3152;-4384, -3120;-4416, -3120;-4416, -3152;-4400.0000;-3136.0000;115
1197;District 3 Pi;Idealism;Exclusive;0915E;-4368, -3136;-4352, -3152;-4352, -3120;-4384, -3120;-4384, -3152;-4368.0000;-3136.0000;115
1198;District 3 Pi;Idealism;Exclusive;0916E;-4368, -3104;-4352, -3120;-4352, -3088;-4384, -3088;-4384, -3120;-4368.0000;-3104.0000;115
1199;District 3 Pi;Idealism;Exclusive;0917E;-4432, -3104;-4416, -3120;-4416, -3088;-4448, -3088;-4448, -3120;-4432.0000;-3104.0000;115
1200;District 3 Pi;Idealism;Exclusive;0918E;-4432, -3072;-4416, -3088;-4416, -3056;-4448, -3056;-4448, -3088;-4432.0000;-3072.0000;115
1201;District 3 Pi;Idealism;Exclusive;0919E;-4400, -3072;-4384, -3088;-4384, -3056;-4416, -3056;-4416, -3088;-4400.0000;-3072.0000;115
1202;District 3 Pi;Idealism;Exclusive;0920E;-4368, -3072;-4352, -3088;-4352, -3056;-4384, -3056;-4384, -3088;-4368.0000;-3072.0000;115
1203;District 3 Pi;Idealism;Deluxe;0921D;2240, 450;2224, 434;2224, 466;2256, 466;2256, 434;2240.0000;450.0000;1
1204;District 3 Pi;Idealism;Deluxe;0922D;2240, 482;2224, 466;2224, 498;2256, 498;2256, 466;2240.0000;482.0000;1
1205;District 3 Pi;Idealism;Deluxe;0923D;2208, 450;2192, 434;2192, 466;2224, 466;2224, 434;2208.0000;450.0000;1
1206;District 3 Pi;Idealism;Deluxe;0924D;2208, 482;2192, 466;2192, 498;2224, 498;2224, 466;2208.0000;482.0000;1
1207;District 3 Pi;Idealism;Deluxe;0925D;2416, 576;2400, 560;2400, 592;2432, 592;2432, 560;2416.0000;576.0000;2
1208;District 3 Pi;Idealism;Deluxe;0926D;2416, 608;2400, 592;2400, 624;2432, 624;2432, 592;2416.0000;608.0000;2
1209;District 3 Pi;Idealism;Deluxe;0927D;2384, 576;2368, 560;2368, 592;2400, 592;2400, 560;2384.0000;576.0000;2
1210;District 3 Pi;Idealism;Deluxe;0928D;2384, 608;2368, 592;2368, 624;2400, 624;2400, 592;2384.0000;608.0000;2
1211;District 3 Pi;Idealism;Deluxe;0929D;-1904, 122;-1920, 106;-1920, 138;-1888, 138;-1888, 106;-1904.0000;122.0000;3
1212;District 3 Pi;Idealism;Deluxe;0930D;-1904, 154;-1920, 138;-1920, 170;-1888, 170;-1888, 138;-1904.0000;154.0000;3
1213;District 3 Pi;Idealism;Deluxe;0931D;-1936, 122;-1952, 106;-1952, 138;-1920, 138;-1920, 106;-1936.0000;122.0000;3
1214;District 3 Pi;Idealism;Deluxe;0932D;-1936, 154;-1952, 138;-1952, 170;-1920, 170;-1920, 138;-1936.0000;154.0000;3
1215;District 3 Pi;Idealism;Deluxe;0933D;-1904, -122;-1920, -106;-1920, -138;-1888, -138;-1888, -106;-1904.0000;-122.0000;4
1216;District 3 Pi;Idealism;Deluxe;0934D;-1904, -154;-1920, -138;-1920, -170;-1888, -170;-1888, -138;-1904.0000;-154.0000;4
1217;District 3 Pi;Idealism;Deluxe;0935D;-1936, -122;-1952, -106;-1952, -138;-1920, -138;-1920, -106;-1936.0000;-122.0000;4
1218;District 3 Pi;Idealism;Deluxe;0936D;-1936, -154;-1952, -138;-1952, -170;-1920, -170;-1920, -138;-1936.0000;-154.0000;4
1219;District 3 Pi;Idealism;Deluxe;0937D;-2240, 450;-2224, 434;-2224, 466;-2256, 466;-2256, 434;-2240.0000;450.0000;5
1220;District 3 Pi;Idealism;Deluxe;0938D;-2240, 482;-2224, 466;-2224, 498;-2256, 498;-2256, 466;-2240.0000;482.0000;5
1221;District 3 Pi;Idealism;Deluxe;0939D;-2208, 450;-2192, 434;-2192, 466;-2224, 466;-2224, 434;-2208.0000;450.0000;5
1222;District 3 Pi;Idealism;Deluxe;0940D;-2208, 482;-2192, 466;-2192, 498;-2224, 498;-2224, 466;-2208.0000;482.0000;5
1223;District 3 Pi;Idealism;Deluxe;0941D;-2416, 576;-2400, 560;-2400, 592;-2432, 592;-2432, 560;-2416.0000;576.0000;6
1224;District 3 Pi;Idealism;Deluxe;0942D;-2416, 608;-2400, 592;-2400, 624;-2432, 624;-2432, 592;-2416.0000;608.0000;6
1225;District 3 Pi;Idealism;Deluxe;0943D;-2384, 576;-2368, 560;-2368, 592;-2400, 592;-2400, 560;-2384.0000;576.0000;6
1226;District 3 Pi;Idealism;Deluxe;0944D;-2384, 608;-2368, 592;-2368, 624;-2400, 624;-2400, 592;-2384.0000;608.0000;6
1227;District 3 Pi;Idealism;Deluxe;0945D;-2240, -450;-2224, -434;-2224, -466;-2256, -466;-2256, -434;-2240.0000;-450.0000;7
1228;District 3 Pi;Idealism;Deluxe;0946D;-2240, -482;-2224, -466;-2224, -498;-2256, -498;-2256, -466;-2240.0000;-482.0000;7
1229;District 3 Pi;Idealism;Deluxe;0947D;-2208, -450;-2192, -434;-2192, -466;-2224, -466;-2224, -434;-2208.0000;-450.0000;7
1230;District 3 Pi;Idealism;Deluxe;0948D;-2208, -482;-2192, -466;-2192, -498;-2224, -498;-2224, -466;-2208.0000;-482.0000;7
1231;District 3 Pi;Idealism;Deluxe;0949D;-2416, -576;-2400, -560;-2400, -592;-2432, -592;-2432, -560;-2416.0000;-576.0000;8
1232;District 3 Pi;Idealism;Deluxe;0950D;-2416, -608;-2400, -592;-2400, -624;-2432, -624;-2432, -592;-2416.0000;-608.0000;8
1233;District 3 Pi;Idealism;Deluxe;0951D;-2384, -576;-2368, -560;-2368, -592;-2400, -592;-2400, -560;-2384.0000;-576.0000;8
1234;District 3 Pi;Idealism;Deluxe;0952D;-2384, -608;-2368, -592;-2368, -624;-2400, -624;-2400, -592;-2384.0000;-608.0000;8
1235;District 3 Pi;Idealism;Deluxe;0953D;-432, -2512;-416, -2496;-416, -2528;-448, -2528;-448, -2496;-432.0000;-2512.0000;9
1236;District 3 Pi;Idealism;Deluxe;0954D;-432, -2544;-416, -2528;-416, -2560;-448, -2560;-448, -2528;-432.0000;-2544.0000;9
1237;District 3 Pi;Idealism;Deluxe;0955D;-400, -2512;-384, -2496;-384, -2528;-416, -2528;-416, -2496;-400.0000;-2512.0000;9
1238;District 3 Pi;Idealism;Deluxe;0956D;-400, -2544;-384, -2528;-384, -2560;-416, -2560;-416, -2528;-400.0000;-2544.0000;9
1239;District 3 Pi;Idealism;Deluxe;0957D;-1136, -1312;-1120, -1296;-1120, -1328;-1152, -1328;-1152, -1296;-1136.0000;-1312.0000;10
1240;District 3 Pi;Idealism;Deluxe;0958D;-1136, -1344;-1120, -1328;-1120, -1360;-1152, -1360;-1152, -1328;-1136.0000;-1344.0000;10
1241;District 4 Delta;Romance;Deluxe;1209D;6736, 16;6720, 32;6720, 0;6752, 0;6752, 32;6736.0000;16.0000;73
1242;District 4 Delta;Romance;Deluxe;1210D;6736, -16;6720, 0;6720, -32;6752, -32;6752, 0;6736.0000;-16.0000;73
1243;District 4 Delta;Romance;Deluxe;1211D;6704, 16;6688, 32;6688, 0;6720, 0;6720, 32;6704.0000;16.0000;73
1244;District 4 Delta;Romance;Deluxe;1212D;6704, -16;6688, 0;6688, -32;6720, -32;6720, 0;6704.0000;-16.0000;73
1245;District 4 Delta;Romance;Deluxe;1213D;4464, 16;4480, 32;4480, 0;4448, 0;4448, 32;4464.0000;16.0000;74
1246;District 4 Delta;Romance;Deluxe;1214D;4464, -16;4480, 0;4480, -32;4448, -32;4448, 0;4464.0000;-16.0000;74
1247;District 4 Delta;Romance;Deluxe;1215D;4496, 16;4512, 32;4512, 0;4480, 0;4480, 32;4496.0000;16.0000;74
1248;District 4 Delta;Romance;Deluxe;1216D;4496, -16;4512, 0;4512, -32;4480, -32;4480, 0;4496.0000;-16.0000;74
1249;District 4 Delta;Romance;Deluxe;1217D;5168, -2512;5184, -2496;5184, -2528;5152, -2528;5152, -2496;5168.0000;-2512.0000;75
1250;District 4 Delta;Romance;Deluxe;1218D;5168, -2544;5184, -2528;5184, -2560;5152, -2560;5152, -2528;5168.0000;-2544.0000;75
1251;District 4 Delta;Romance;Deluxe;1219D;5200, -2512;5216, -2496;5216, -2528;5184, -2528;5184, -2496;5200.0000;-2512.0000;75
1252;District 4 Delta;Romance;Deluxe;1220D;5200, -2544;5216, -2528;5216, -2560;5184, -2560;5184, -2528;5200.0000;-2544.0000;75
1253;District 4 Delta;Romance;Deluxe;1221D;4640, -1216;4656, -1200;4656, -1232;4624, -1232;4624, -1200;4640.0000;-1216.0000;76
1254;District 4 Delta;Romance;Deluxe;1222D;4640, -1248;4656, -1232;4656, -1264;4624, -1264;4624, -1232;4640.0000;-1248.0000;76
1255;District 4 Delta;Romance;Deluxe;1223D;4672, -1216;4688, -1200;4688, -1232;4656, -1232;4656, -1200;4672.0000;-1216.0000;76
1256;District 4 Delta;Romance;Deluxe;1224D;4672, -1248;4688, -1232;4688, -1264;4656, -1264;4656, -1232;4672.0000;-1248.0000;76
1257;District 4 Delta;Romance;Deluxe;1225D;4464, -1312;4480, -1296;4480, -1328;4448, -1328;4448, -1296;4464.0000;-1312.0000;77
1258;District 4 Delta;Romance;Deluxe;1226D;4464, -1344;4480, -1328;4480, -1360;4448, -1360;4448, -1328;4464.0000;-1344.0000;77
1259;District 4 Delta;Romance;Deluxe;1227D;4496, -1312;4512, -1296;4512, -1328;4480, -1328;4480, -1296;4496.0000;-1312.0000;77
1260;District 4 Delta;Romance;Deluxe;1228D;4496, -1344;4512, -1328;4512, -1360;4480, -1360;4480, -1328;4496.0000;-1344.0000;77
1261;District 4 Delta;Romance;Deluxe;1229D;6560, -1176;6544, -1160;6544, -1192;6576, -1192;6576, -1160;6560.0000;-1176.0000;78
1262;District 4 Delta;Romance;Deluxe;1230D;6560, -1208;6544, -1192;6544, -1224;6576, -1224;6576, -1192;6560.0000;-1208.0000;78
1263;District 4 Delta;Romance;Deluxe;1231D;6528, -1176;6512, -1160;6512, -1192;6544, -1192;6544, -1160;6528.0000;-1176.0000;78
1264;District 4 Delta;Romance;Deluxe;1232D;6528, -1208;6512, -1192;6512, -1224;6544, -1224;6544, -1192;6528.0000;-1208.0000;78
1265;District 4 Delta;Romance;Deluxe;1233D;6736, -1312;6720, -1296;6720, -1328;6752, -1328;6752, -1296;6736.0000;-1312.0000;79
1266;District 4 Delta;Romance;Deluxe;1234D;6736, -1344;6720, -1328;6720, -1360;6752, -1360;6752, -1328;6736.0000;-1344.0000;79
1267;District 4 Delta;Romance;Deluxe;1235D;6704, -1312;6688, -1296;6688, -1328;6720, -1328;6720, -1296;6704.0000;-1312.0000;79
1268;District 4 Delta;Romance;Deluxe;1236D;6704, -1344;6688, -1328;6688, -1360;6720, -1360;6720, -1328;6704.0000;-1344.0000;79
1269;District 4 Delta;Romance;Deluxe;1237D;3888, -1776;3904, -1760;3904, -1792;3872, -1792;3872, -1760;3888.0000;-1776.0000;80
1270;District 4 Delta;Romance;Deluxe;1238D;3888, -1808;3904, -1792;3904, -1824;3872, -1824;3872, -1792;3888.0000;-1808.0000;80
1271;District 4 Delta;Romance;Deluxe;1239D;3920, -1776;3936, -1760;3936, -1792;3904, -1792;3904, -1760;3920.0000;-1776.0000;80
1272;District 4 Delta;Romance;Deluxe;1240D;3920, -1808;3936, -1792;3936, -1824;3904, -1824;3904, -1792;3920.0000;-1808.0000;80
1273;District 4 Delta;Romance;Deluxe;1241D;4592, 6736;4576, 6720;4576, 6752;4608, 6752;4608, 6720;4592.0000;6736.0000;81
1274;District 4 Delta;Romance;Deluxe;1242D;4592, 6768;4576, 6752;4576, 6784;4608, 6784;4608, 6752;4592.0000;6768.0000;81
1275;District 4 Delta;Romance;Deluxe;1243D;4560, 6736;4544, 6720;4544, 6752;4576, 6752;4576, 6720;4560.0000;6736.0000;81
1276;District 4 Delta;Romance;Deluxe;1244D;4560, 6768;4544, 6752;4544, 6784;4576, 6784;4576, 6752;4560.0000;6768.0000;81
1277;District 4 Delta;Romance;Deluxe;1245D;4416, 6608;4400, 6592;4400, 6624;4432, 6624;4432, 6592;4416.0000;6608.0000;82
1278;District 4 Delta;Romance;Deluxe;1246D;4416, 6640;4400, 6624;4400, 6656;4432, 6656;4432, 6624;4416.0000;6640.0000;82
1279;District 4 Delta;Romance;Deluxe;1247D;4384, 6608;4368, 6592;4368, 6624;4400, 6624;4400, 6592;4384.0000;6608.0000;82
1280;District 4 Delta;Romance;Deluxe;1248D;4384, 6640;4368, 6624;4368, 6656;4400, 6656;4400, 6624;4384.0000;6640.0000;82
1281;District 4 Delta;Romance;Deluxe;1249D;5120, 4510;5104, 4526;5104, 4494;5136, 4494;5136, 4526;5120.0000;4510.0000;83
1282;District 4 Delta;Romance;Deluxe;1250D;5120, 4478;5104, 4494;5104, 4462;5136, 4462;5136, 4494;5120.0000;4478.0000;83
1283;District 4 Delta;Romance;Deluxe;1251D;5088, 4510;5072, 4526;5072, 4494;5104, 4494;5104, 4526;5088.0000;4510.0000;83
1284;District 4 Delta;Romance;Deluxe;1252D;5088, 4478;5072, 4494;5072, 4462;5104, 4462;5104, 4494;5088.0000;4478.0000;83
1285;District 4 Delta;Romance;Deluxe;1253D;5296, 4384;5280, 4400;5280, 4368;5312, 4368;5312, 4400;5296.0000;4384.0000;84
1286;District 4 Delta;Romance;Deluxe;1254D;5296, 4352;5280, 4368;5280, 4336;5312, 4336;5312, 4368;5296.0000;4352.0000;84
1287;District 4 Delta;Romance;Deluxe;1255D;5264, 4384;5248, 4400;5248, 4368;5280, 4368;5280, 4400;5264.0000;4384.0000;84
1288;District 4 Delta;Romance;Deluxe;1256D;5264, 4352;5248, 4368;5248, 4336;5280, 4336;5280, 4368;5264.0000;4352.0000;84
1289;District 4 Delta;Romance;Deluxe;1257D;4592, 3184;4576, 3200;4576, 3168;4608, 3168;4608, 3200;4592.0000;3184.0000;85
1290;District 4 Delta;Romance;Deluxe;1258D;4592, 3152;4576, 3168;4576, 3136;4608, 3136;4608, 3168;4592.0000;3152.0000;85
1291;District 4 Delta;Romance;Deluxe;1259D;4560, 3184;4544, 3200;4544, 3168;4576, 3168;4576, 3200;4560.0000;3184.0000;85
1292;District 4 Delta;Romance;Deluxe;1260D;4560, 3152;4544, 3168;4544, 3136;4576, 3136;4576, 3168;4560.0000;3152.0000;85
1293;District 4 Delta;Romance;Deluxe;1261D;4416, 3312;4400, 3328;4400, 3296;4432, 3296;4432, 3328;4416.0000;3312.0000;86
1294;District 4 Delta;Romance;Deluxe;1262D;4416, 3280;4400, 3296;4400, 3264;4432, 3264;4432, 3296;4416.0000;3280.0000;86
1295;District 4 Delta;Romance;Deluxe;1263D;4384, 3312;4368, 3328;4368, 3296;4400, 3296;4400, 3328;4384.0000;3312.0000;86
1296;District 4 Delta;Romance;Deluxe;1264D;4384, 3280;4368, 3296;4368, 3264;4400, 3264;4400, 3296;4384.0000;3280.0000;86
1297;District 4 Delta;Romance;Deluxe;1265D;2448, 2448;2464, 2464;2464, 2432;2432, 2432;2432, 2464;2448.0000;2448.0000;87
1298;District 4 Delta;Romance;Deluxe;1266D;2448, 2416;2464, 2432;2464, 2400;2432, 2400;2432, 2432;2448.0000;2416.0000;87
1299;District 4 Delta;Romance;Deluxe;1267D;2480, 2448;2496, 2464;2496, 2432;2464, 2432;2464, 2464;2480.0000;2448.0000;87
1300;District 4 Delta;Romance;Deluxe;1268D;2480, 2416;2496, 2432;2496, 2400;2464, 2400;2464, 2432;2480.0000;2416.0000;87
1301;District 4 Delta;Romance;Deluxe;1269D;1920, 3744;1936, 3760;1936, 3728;1904, 3728;1904, 3760;1920.0000;3744.0000;88
1302;District 4 Delta;Romance;Deluxe;1270D;1920, 3712;1936, 3728;1936, 3696;1904, 3696;1904, 3728;1920.0000;3712.0000;88
1303;District 4 Delta;Romance;Deluxe;1271D;1952, 3744;1968, 3760;1968, 3728;1936, 3728;1936, 3760;1952.0000;3744.0000;88
1304;District 4 Delta;Romance;Deluxe;1272D;1952, 3712;1968, 3728;1968, 3696;1936, 3696;1936, 3728;1952.0000;3712.0000;88
1305;District 4 Delta;Romance;Deluxe;1273D;1744, 3648;1760, 3664;1760, 3632;1728, 3632;1728, 3664;1744.0000;3648.0000;89
1306;District 4 Delta;Romance;Deluxe;1274D;1744, 3616;1760, 3632;1760, 3600;1728, 3600;1728, 3632;1744.0000;3616.0000;89
1307;District 4 Delta;Romance;Deluxe;1275D;1776, 3648;1792, 3664;1792, 3632;1760, 3632;1760, 3664;1776.0000;3648.0000;89
1308;District 4 Delta;Romance;Deluxe;1276D;1776, 3616;1792, 3632;1792, 3600;1760, 3600;1760, 3632;1776.0000;3616.0000;89
1309;District 4 Delta;Romance;Deluxe;1277D;4016, 3648;4000, 3664;4000, 3632;4032, 3632;4032, 3664;4016.0000;3648.0000;90
1310;District 4 Delta;Romance;Deluxe;1278D;4016, 3616;4000, 3632;4000, 3600;4032, 3600;4032, 3632;4016.0000;3616.0000;90
1311;District 4 Delta;Romance;Deluxe;1279D;3984, 3648;3968, 3664;3968, 3632;4000, 3632;4000, 3664;3984.0000;3648.0000;90
1312;District 4 Delta;Romance;Deluxe;1280D;3984, 3616;3968, 3632;3968, 3600;4000, 3600;4000, 3632;3984.0000;3616.0000;90
1313;District 4 Delta;Romance;Deluxe;1281D;3312, 2448;3296, 2464;3296, 2432;3328, 2432;3328, 2464;3312.0000;2448.0000;91
1314;District 4 Delta;Romance;Deluxe;1282D;3312, 2416;3296, 2432;3296, 2400;3328, 2400;3328, 2432;3312.0000;2416.0000;91
1315;District 4 Delta;Romance;Deluxe;1283D;3280, 2448;3264, 2464;3264, 2432;3296, 2432;3296, 2464;3280.0000;2448.0000;91
1316;District 4 Delta;Romance;Deluxe;1284D;3280, 2416;3264, 2432;3264, 2400;3296, 2400;3296, 2432;3280.0000;2416.0000;91
1317;District 4 Delta;Romance;Deluxe;1285D;3136, 2576;3120, 2592;3120, 2560;3152, 2560;3152, 2592;3136.0000;2576.0000;92
1318;District 4 Delta;Romance;Deluxe;1286D;3136, 2544;3120, 2560;3120, 2528;3152, 2528;3152, 2560;3136.0000;2544.0000;92
1319;District 4 Delta;Romance;Deluxe;1287D;3104, 2576;3088, 2592;3088, 2560;3120, 2560;3120, 2592;3104.0000;2576.0000;92
1320;District 4 Delta;Romance;Deluxe;1288D;3104, 2544;3088, 2560;3088, 2528;3120, 2528;3120, 2560;3104.0000;2544.0000;92
1321;District 4 Delta;Romance;Deluxe;1289D;2448, 7472;2464, 7456;2464, 7488;2432, 7488;2432, 7456;2448.0000;7472.0000;93
1322;District 4 Delta;Romance;Deluxe;1290D;2448, 7504;2464, 7488;2464, 7520;2432, 7520;2432, 7488;2448.0000;7504.0000;93
1323;District 4 Delta;Romance;Deluxe;1291D;2480, 7472;2496, 7456;2496, 7488;2464, 7488;2464, 7456;2480.0000;7472.0000;93
1324;District 4 Delta;Romance;Deluxe;1292D;2480, 7504;2496, 7488;2496, 7520;2464, 7520;2464, 7488;2480.0000;7504.0000;93
1325;District 4 Delta;Romance;Deluxe;1293D;1744, 6272;1760, 6256;1760, 6288;1728, 6288;1728, 6256;1744.0000;6272.0000;94
1326;District 4 Delta;Romance;Deluxe;1294D;1744, 6304;1760, 6288;1760, 6320;1728, 6320;1728, 6288;1744.0000;6304.0000;94
1327;District 4 Delta;Romance;Deluxe;1295D;1776, 6272;1792, 6256;1792, 6288;1760, 6288;1760, 6256;1776.0000;6272.0000;94
1328;District 4 Delta;Romance;Deluxe;1296D;1776, 6304;1792, 6288;1792, 6320;1760, 6320;1760, 6288;1776.0000;6304.0000;94
1329;District 4 Delta;Romance;Deluxe;1297D;3312, 7472;3296, 7456;3296, 7488;3328, 7488;3328, 7456;3312.0000;7472.0000;95
1330;District 4 Delta;Romance;Deluxe;1298D;3312, 7504;3296, 7488;3296, 7520;3328, 7520;3328, 7488;3312.0000;7504.0000;95
1331;District 4 Delta;Romance;Deluxe;1299D;3280, 7472;3264, 7456;3264, 7488;3296, 7488;3296, 7456;3280.0000;7472.0000;95
1332;District 4 Delta;Romance;Deluxe;1300D;3280, 7504;3264, 7488;3264, 7520;3296, 7520;3296, 7488;3280.0000;7504.0000;95
1333;District 4 Delta;Romance;Deluxe;1301D;4016, 6272;4000, 6256;4000, 6288;4032, 6288;4032, 6256;4016.0000;6272.0000;96
1334;District 4 Delta;Romance;Deluxe;1302D;4016, 6304;4000, 6288;4000, 6320;4032, 6320;4032, 6288;4016.0000;6304.0000;96
1335;District 4 Delta;Romance;Deluxe;1303D;3984, 6272;3968, 6256;3968, 6288;4000, 6288;4000, 6256;3984.0000;6272.0000;96
1336;District 4 Delta;Romance;Deluxe;1304D;3984, 6304;3968, 6288;3968, 6320;4000, 6320;4000, 6288;3984.0000;6304.0000;96
1337;District 4 Delta;Romance;Deluxe;1305D;2256, 5808;2240, 5792;2240, 5824;2272, 5824;2272, 5792;2256.0000;5808.0000;97
